164.11.80.1,78-19-f7-55-84-01
164.11.80.20,ec-b1-d7-35-1c-8d
164.11.80.21,88-51-fb-4a-ad-1b
164.11.80.22,ec-b1-d7-35-1c-a3
164.11.80.23,88-51-fb-49-69-21
164.11.80.25,88-51-fb-4f-4f-e4
164.11.80.27,ec-b1-d7-35-1a-ff
164.11.80.28,ec-b1-d7-35-99-7d
164.11.80.29,ec-b1-d7-35-1b-cc
164.11.80.30,88-51-fb-49-69-1d
164.11.80.32,ec-b1-d7-35-1b-ca
164.11.80.33,ec-b1-d7-31-26-c3
164.11.80.34,ec-b1-d7-35-9a-4c
164.11.80.35,ec-b1-d7-31-26-c4
164.11.80.36,ec-b1-d7-35-98-2c
164.11.80.37,ec-b1-d7-35-1b-07
164.11.80.38,ec-b1-d7-35-1c-9e
164.11.80.39,ec-b1-d7-31-26-bd
164.11.80.40,ec-b1-d7-35-9a-57
164.11.80.41,ec-b1-d7-35-9a-54
164.11.80.42,ec-b1-d7-35-99-83
164.11.80.43,ec-b1-d7-31-28-00
164.11.80.45,ec-b1-d7-35-1b-cb
164.11.80.46,88-51-fb-4f-4f-ee
164.11.80.47,ec-b1-d7-35-1c-6c
164.11.80.49,ec-b1-d7-35-9a-4a
164.11.80.51,88-51-fb-4f-4f-ec
164.11.80.52,00-0c-29-5f-93-af
164.11.80.53,ec-b1-d7-31-28-09
164.11.80.54,ec-b1-d7-35-98-a7
164.11.80.55,88-51-fb-6e-90-4c
164.11.80.56,50-65-f3-25-b6-84
164.11.80.57,88-51-fb-49-69-23
164.11.80.58,88-51-fb-49-68-fc
164.11.80.60,88-51-fb-4a-ac-df
164.11.80.61,88-51-fb-4a-ad-1d
164.11.80.62,ec-b1-d7-31-28-07
164.11.80.65,ec-b1-d7-35-9a-4f
164.11.80.67,88-51-fb-4a-ad-0e
164.11.80.69,ec-b1-d7-35-1b-05
164.11.80.72,94-57-a5-f2-2d-18
164.11.80.73,dc-4a-3e-69-40-6c
164.11.80.74,94-57-a5-f2-2c-f6
164.11.80.75,ec-b1-d7-35-1b-01
164.11.80.76,00-0c-29-93-a8-da
164.11.80.77,88-51-fb-49-69-1f
164.11.80.78,94-57-a5-f2-2c-81
164.11.80.79,88-51-fb-50-44-30
164.11.80.81,00-0c-29-21-ad-06
164.11.80.82,94-57-a5-f3-57-aa
164.11.80.84,00-0c-29-dd-1e-9e
164.11.80.85,00-0c-29-d8-7b-46
164.11.80.87,88-51-fb-4f-4f-f0
164.11.80.89,88-51-fb-69-79-c1
164.11.80.91,88-51-fb-4a-ad-17
164.11.80.94,00-0c-29-4b-32-b4
164.11.80.95,dc-4a-3e-66-5a-54
164.11.80.96,00-0c-29-a0-e2-96
164.11.80.97,94-57-a5-ed-ff-d3
164.11.80.99,88-51-fb-70-08-a2
164.11.80.105,00-0c-29-fb-ab-b1
164.11.80.107,ec-8e-99-e3-62-79
164.11.80.110,ec-b1-d7-35-1b-cd
164.11.80.111,00-0c-29-ac-6a-f5
164.11.80.255,ff-ff-ff-ff-ff-ff
